time,open,high,low,close,diff,%,,,
2024/8/19,183.5,185.2,178.9,180.95,-2.55,-0.014,,,
2024/8/26,182.4,183.4,179.15,181.35,-1.05,-0.006,,,
2024/9/2,181.9,182.45,170,174.75,-7.15,-0.039,,,
2024/9/9,170.4,179.35,170.3,178.4,8,0.047,,,
2024/9/16,178.6,184.1,176.55,182.45,3.85,0.022,,,
2024/9/23,182.55,191.25,182.1,188.9,6.35,0.035,,,
2024/9/30,186.55,187.2,183,183.6,-2.95,-0.016,,,
2024/10/7,185.8,192.8,185.5,192.15,6.35,0.034,,,
2024/10/14,192.1,200.2,190.95,198.1,6,0.031,,,
2024/10/21,199.05,199.95,194.5,196.4,-2.65,-0.013,,,
2024/10/28,197.9,198.15,185.95,190.5,-7.4,-0.037,,,
2024/11/4,191.05,200,190.8,199,7.95,0.042,,,
2024/11/11,198.85,199.1,190.1,192.35,-6.5,-0.033,,,
2024/11/18,191.45,193.35,188.6,193.05,1.6,0.008,,,
2024/11/25,194.7,194.75,184.5,187.25,-7.45,-0.038,,,
2024/12/2,188.5,196.7,188.5,195.75,7.25,0.038,,,
2024/12/9,196.15,196.45,192.6,195.3,-0.85,-0.004,,,
2024/12/16,197,198.05,192,192.6,-4.4,-0.022,,,
2024/12/23,194.7,199.1,194.5,198.9,4.2,0.022,,,
2024/12/30,198.15,198.65,193.25,196,-2.15,-0.011,,,
2025/1/6,198.65,206,198,199,0.35,0.002,,,
2025/1/13,199,199.5,193.75,196.3,-2.7,-0.014,,,
2025/1/20,197.15,201.7,196.7,201.3,4.15,0.021,,,
